# Ведомость расхождений переписи перечней, набранных руками.
# Строку сюда вписывают только с доводом, ПОЧЕМУ расхождение остаётся.
#
# Сверяется в ОБЕ стороны: `sh scripts/hand-written-lists.sh --check` краснеет
# и на расхождении, которого здесь нет, и на записи, переставшей быть
# расхождением. Второе — не придирка: ведомость, пережившая дерево, это ровно
# та болезнь, ради которой ведомость заведена.
#
# Снято заново на ветке r/storozha-dolg поверх ствола 08220eaa, 8 сентября 2026:
# 97 расхождений (целей 43, путей 54) из 254 перечней. Прежняя запись — ствол
# af791d85, 62 расхождения из 223 перечней, 1 сентября 2026, ячейка Ч181.
#
# Что изменилось и почему. С 1 сентября ведомость с прибором не сводили: она
# знала 52 расхождения, прибор называл 97. Снято 18 записей и вписано 63.
#
#   СНЯТЫЕ 18 были мертвы ещё ДО этой правки — проверено прогоном переписи на
#   нетронутой копии ствола: там их 19, и девятнадцатая (scripts/link-guard.flang
#   строка 694) ожила ровно потому, что перечень в этом файле переехал на её
#   номер после снятия комментариев. Ведомость, пережившая дерево, — та же
#   болезнь, ради которой ведомость заведена.
#
#   ВПИСАННЫЕ 63 — три породы.
#
#   Восемь целей вместо девяти: 27 записей. Семя перепечатано с целью `cpp`
#   5 сентября, и всякий перечень из восьми целей стал расходиться С ОБОИМИ
#   источниками сразу. Исторические замеры и закрытые задачи правятся только
#   вместе с датой; справка сайта, руководство и разбор бед — настоящий долг
#   документации, и он назван долгом прямо, а не спрятан за словом «замер».
#
#   Прежние имена, переезды и сабмодули: 29 записей путей. Снятые файлы
#   JavaScript, каталоги examples/cat и flang/cat, задачи, переехавшие в
#   tasks/completed, входы примеров и содержимое невыкаченных сабмодулей
#   packaging/asdf-plugin и packaging/homebrew-tap.
#
#   Остальные 7 записей целей — перечни, описывающие ПОДМНОЖЕСТВО (цели с
#   хозяином узла, цели с уликами, цели без плана) и одна граница самого
#   прибора: в .github/workflows/ci.yml строка 762 перечень ПОЛОН, но девятое
#   имя дописано следующей строкой под `if`, а связная череда переписи на этой
#   строке рвётся.
#
# 8 сентября из 58 файлов сняты комментарии (долг «в .flang не пишут
# комментариев»), и 13 расхождений уехали вверх на 20-110 строк, а три
# исчезли вовсе — они стояли в самих комментариях (docs/site/site-numbers.flang,
# scripts/emit-promises-guard.flang, scripts/link-guard.flang).
#
# вид	файл	строка	довод, почему расхождение остаётся
ПУТИ	flang/proof/examples/precondition.flang	135	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/proof/чекер/пробы/программы/lozh-stolknovenie.flang	6	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/scripts/claim-guard.mjs	39	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/scripts/count-guard.mjs	180	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/scripts/guards-start.flang	28	ложное срабатывание переписи: имя складывается прогоном или это обрубок строки, а не имя дерева (обрубок «scripts/storozh-» — приставка отбора)
ПУТИ	flang/scripts/link-collision-guard.mjs	509	выдуманные входы пробы, а не имена дерева: перечень подделок не протухает
ПУТИ	flang/scripts/tempdir-guard.flang	367	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/self/bootstrap/compiler.flang	51	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/self/bootstrap/compiler.flang	496	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/test/svyaz-celi.test.mjs	22	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/проверки/прогонщик-корпуса.flang	97	выдуманные входы пробы, а не имена дерева: перечень подделок не протухает (входы пробы масок)
ПУТИ	scripts/build-changelog-page.mjs	37	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	scripts/emit-dictionary.flang	10	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	scripts/link-guard.flang	694	выдуманные входы пробы, а не имена дерева: перечень подделок не протухает
ПУТИ	scripts/path-without-node.flang	11	прежняя реализация на JavaScript, снятая коммитами c1cd565c и 865c21aa; шапка правлена, чтобы не говорить о снятых файлах в настоящем времени
ПУТИ	scripts/published-vs-tree.sh	535	ложное срабатывание переписи: имя складывается прогоном или это обрубок строки, а не имя дерева (обрубок «flang/conc/bin/node.» — приставка, к которой дописывается расширение цели)
ПУТИ	web/wasm/probe.mjs	13	ложное срабатывание переписи: имя складывается прогоном или это обрубок строки, а не имя дерева (node_modules ставится прогоном, в дереве его нет по устройству)
ПУТИ	scripts/build-changelog.mjs	106	исторический корень: каталог flang/bin удалён 3 сентября 2026 вместе с обёртками npm (задача 8649), но коммиты, которые его трогали, в истории остались, и незнакомый корень останавливает печать журнала — перечень обязан помнить путь, которого в дереве уже нет
ЦЕЛИ	.github/workflows/ci.yml	600	историческая проза о СЕМИ целях, не собиравшихся до 5 сентября 2026: высказывание о подмножестве, а не заявка «вот они все»
ЦЕЛИ	.github/workflows/ci.yml	612	таблица замера 5 сентября 2026; elixir в неё не входил — его тулчейна нет в образе раннера, и замер правится только вместе с датой
ЦЕЛИ	.github/workflows/ci.yml	762	перечень ПОЛОН: elixir дописывается следующей строкой (celi="$celi elixir") под условием, но связная череда переписи рвётся на строке `if` — это граница прибора, а не долг дерева
ЦЕЛИ	docs/adr/0010-compatibility-promise-for-0-x.md	128	решение записано на восьми целях до перепечатки семени с cpp; ADR правится новым решением, а не по ходу дерева
ЦЕЛИ	docs/adr/0014-proof-language.md	142	поимённый замер печати по восьми целям; cpp тогда не печатался, замер правится только пересъёмкой
ЦЕЛИ	docs/course/09-eight-targets.md	277	перечислены шесть целей после cpp, а `c` названа отдельно выше: высказывание о подмножестве
ЦЕЛИ	docs/ct/spec.md	1276	таблица замера по восьми целям; cpp в замер не входил
ЦЕЛИ	docs/guide/project-layout.md	89	проза «all eight target languages», набранная до девятой цели cpp; настоящий долг документации, правится вместе с русской половиной
ЦЕЛИ	docs/guide/project-layout.ru.md	87	русская половина той же прозы про восемь целей; правится вместе с английской
ЦЕЛИ	docs/ifl/measure-across-targets.sh	57	прогон замера по восьми целям; правка перечня меняет ПРЕДМЕТ замера, а не описку в нём
ЦЕЛИ	docs/site/cli.md	195	таблица ключа --target в справке сайта: восемь целей, cpp не дописан — настоящий долг документации
ЦЕЛИ	docs/site/cli.ru.md	190	русская половина той же таблицы; правится вместе с английской
ЦЕЛИ	docs/site/embedding.md	61	таблица напечатанных файлов по восьми целям; строки cpp нет — настоящий долг документации
ЦЕЛИ	docs/site/embedding.ru.md	60	русская половина той же таблицы; правится вместе с английской
ЦЕЛИ	docs/site/troubleshooting.md	71	разбивка целей по поведению планировщика на три группы; cpp не отнесён ни к одной — настоящий долг документации
ЦЕЛИ	docs/site/troubleshooting.ru.md	70	русская половина той же разбивки; правится вместе с английской
ЦЕЛИ	docs/zettel/pechat-plana-obeshchana-naiznanku-i-sverit-eyo-nechem.md	15	таблица замера в заметке; снята до девятой цели и правится только пересъёмкой замера
ЦЕЛИ	docs/zettel/pechat-plana-obeshchana-naiznanku-i-sverit-eyo-nechem.md	29	вторая таблица того же замера; правится только пересъёмкой
ЦЕЛИ	flang/proof/SPEC.md	154	замер равенства байтов по восьми целям; cpp в замер не входил
ЦЕЛИ	flang/scripts/node-across-targets.flang	25	перечень целей, у которых есть хозяин узла; у цели python хозяина нет — перечень описывает то, что можно собрать
ЦЕЛИ	flang/scripts/supervisor-across-targets.flang	23	тот же перечень целей с хозяином узла для надзора; у python хозяина нет
ЦЕЛИ	flang/scripts/target-words.flang	34	оставлены все РАЗНЫЕ причины столкновения, а не все цели — сказано в шапке перечня
ЦЕЛИ	flang/src/emit/js/flang_host_node.js	13	перечень целей, которые план НЕ печатают; `c` в нём не назван — высказывание о подмножестве в шапке замера
ЦЕЛИ	flang/test/fixtures/zapis-oracula.json	218	снимок записи доказательства: перечень модулей flang/self, снятый до emit-cpp.flang; правится только пересъёмкой снимка
ЦЕЛИ	flang/test/fixtures/zapis-setki.json	211	снимок записи доказательства, снятый до emit-cpp.flang; правится только пересъёмкой
ЦЕЛИ	flang/test/fixtures/zapis-setki.json	519	второй перечень модулей в том же снимке; правится только пересъёмкой
ЦЕЛИ	flang/test/snimok/proofterm-witness.json	211	снимок свидетеля доказательства, снятый до emit-cpp.flang; правится только пересъёмкой
ЦЕЛИ	flang/test/toolchain-guard.mjs	24	шапка называет идентификаторы целей по flang/src/targets.mjs — файлу, которого в дереве уже нет; долг шапки
ЦЕЛИ	scripts/bad-octet-guard.sh	25	таблица «было» по восьми целям: исторический замер до починки октетов
ЦЕЛИ	scripts/emit-promises-guard.flang	217	улики по целям рантайма; у elixir и у cpp улик этого класса нет
ЦЕЛИ	scripts/module-name-guard.flang	294	перечень модулей flang/self, в котором нет emit-cpp.flang; настоящий долг перечня — правка меняет предмет сторожа и делается вместе с его прогоном
ЦЕЛИ	tasks/completed/0025-roadmap-matches-the-tree.md	89	закрытая задача: запись о работе на день закрытия, правится только вместе с датой
ЦЕЛИ	tasks/completed/4025-the-seed-stopped-dropping-processes-and-the-network.md	161	закрытая задача: таблица замера на день закрытия
ЦЕЛИ	tasks/completed/8460-the-occupied-names-guard-was-blind-to-the-ninth-target.md	117	закрытая задача: «семь целей из девяти без присмотра» — высказывание о подмножестве на день закрытия
ПУТИ	docs/site/build.flang	71	входы ПРИМЕРОВ функции (docs/site/limits.ru.md → docs/site/limits.md), а не имена дерева: входы примера не протухают
ПУТИ	examples/frameworks/nestjs-orders/printed/flang_cli.js	533	прежняя реализация на JavaScript (flang/scripts/direct-run-guard.mjs), вынесенная из дерева; имя стоит в шапке НАПЕЧАТАННОГО файла и правится печатью, а не рукой
ПУТИ	examples/frameworks/react-invoice/printed/flang_cli.js	533	то же напечатанное лицо, вторая рамка; правится печатью, а не рукой
ПУТИ	examples/frameworks/vue-roman/printed/flang_cli.js	533	то же напечатанное лицо, третья рамка; правится печатью, а не рукой
ПУТИ	flang/scripts/binary-rules-guard.flang	237	прежние имена на JavaScript (flang/bin/flang.mjs, flang/src/lsp.mjs, io.mjs, factcheck.mjs) в поле «почему» записей: имя стоит как история, а не как живой файл
ПУТИ	flang/scripts/code-guard.flang	214	ожидаемые значения ПРИМЕРА: задачи 6805 и 0003 переехали в tasks/completed, а пример показывает прежний путь; правится вместе с примером
ПУТИ	flang/scripts/code-guard.flang	229	второй пример того же вида; правится вместе с примером
ПУТИ	flang/scripts/code-guard.flang	266	третий пример того же вида: задача 6805 переехала в tasks/completed
ПУТИ	flang/scripts/count-guard.mjs	26	flang/cat/POLY.md — прежнее имя каталога до переезда в flang/ct; шапка называет его примером правила, а не живым файлом
ПУТИ	flang/self/bootstrap/compiler.flang	1925	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/self/bootstrap/compiler.flang	2702	прежняя реализация на JavaScript, вынесенная из дерева коммитом-удалением; имя стоит в комментарии как история, а не как живой файл
ПУТИ	flang/self/proof-initial.flang	1821	ложное срабатывание переписи: имя складывается прогоном или это обрубок строки, а не имя дерева (относительное имя внутри строки разбора)
ПУТИ	flang/src/emit/js/flang_cli.js	529	образец, с которым сверяются копии в напечатанных рамках; называет снятый flang/scripts/direct-run-guard.mjs как историю
ПУТИ	scripts/asdf-plugin-guard.flang	361	содержимое сабмодуля packaging/asdf-plugin: в git ls-files лежит одно имя сабмодуля, а не его файлы, и перепись их не видит, пока сабмодуль не выкачен
ПУТИ	scripts/asdf-plugin-guard.flang	372	тот же сабмодуль, перечень ожидаемых файлов плагина
ПУТИ	scripts/asdf-plugin-guard.flang	388	тот же сабмодуль, перечень исполняемых файлов плагина
ПУТИ	scripts/build-changelog.mjs	134	исторический корень examples/cat, снятый переездом в flang/ct; перечень корней обязан помнить путь, которого в дереве уже нет
ПУТИ	scripts/build-changelog.mjs	217	прямо названы ПРЕЖНИЕ места (flang/cat, flang/examples): перечень корней помнит историю нарочно
ПУТИ	scripts/bump-version.sh	144	ложное срабатывание переписи: точка предложения приклеилась к имени (bootstrap/flang_repl.c.), сам файл в дереве есть
ПУТИ	scripts/changelog.flang	257	исторический корень flang/bin, удалённый 3 сентября 2026 вместе с обёртками npm (задача 8649); перечень корней обязан его помнить
ПУТИ	scripts/changelog.flang	261	исторический корень flang/cat, снятый переездом в flang/ct; перечень служебных корней обязан его помнить
ПУТИ	scripts/changelog.flang	271	входы ПРИМЕРОВ функции на прежних именах (flang/src/lexer.mjs, docs/adr/0006.md); входы примера не протухают
ПУТИ	scripts/changelog.flang	828	ожидаемые значения ПРИМЕРА о НЕИЗВЕСТНОМ корне (turbo/run.mjs, turbo/README.md): имена выдуманы нарочно, дерева они не описывают
ПУТИ	scripts/changelog.flang	1202	вход ПРИМЕРА — строка вывода git с управляющими знаками; «u0003» приклеилось к имени разбором, а flang/src/lexer.mjs здесь прежнее имя из истории
ПУТИ	scripts/emit-law.flang	99	постоянный перечень программ, из которого печатается закон: шесть имён под examples/cat не существуют — каталог переехал в flang/ct; настоящий долг, правка меняет предмет закона
ПУТИ	scripts/emit-package.flang	17	задача 8649 переехала в tasks/completed; имя стоит в комментарии как ссылка на разбор, а не как живой файл
ПУТИ	scripts/homebrew-formula-guard.flang	484	содержимое сабмодуля packaging/homebrew-tap: в git ls-files лежит одно имя сабмодуля, а не Formula/flang.rb
ПУТИ	scripts/release-in-c.flang	158	«куда» ПРИМЕРА — каталог, который складывает прогон выпуска (output/release-c/…); в дереве его нет по устройству
ПУТИ	scripts/two-prints-identical.sh	76	ложное срабатывание переписи: точка предложения приклеилась к имени (scripts/print-progress.sh.), сам файл в дереве есть
