# МАНИФЕСТ НАБОРА ПОДДЕЛОК — объявленный руками список, а не приставка в имени.
#
# Решение ADR-0023 «Подделки живут отдельным набором, а не в корпусе метрики»,
# шаг Ш1. До него подделку опознавали ТРИ несовпадающих правила: регулярное
# выражение по имени файла в corpus-share.sh, список PUSTO_V_CHISLITELE_ZAKONNO
# и разбор `case` в run.sh. Здесь их место занимает один закрытый список:
# имя файла больше ничего не решает.
#
# КТО ЧИТАЕТ ЭТОТ ФАЙЛ:
#   flang/proof/checker/tests/run.sh   — класс и ожидаемый исход каждой пробы;
#   flang/proof/corpus-share.sh         — какие места вынести из знаменателя;
#   scripts/доказуемость.sh             — проверки 3 и 4 (набор и храповик).
#
# СТОЛБЦЫ (разделитель — ОДИН знак табуляции, семь полей):
#   1 имя              — имя подделки, оно же основа имён исходника и записи;
#   2 исходник         — путь от корня дерева до .flang с ложью;
#   3 запись           — путь от корня дерева до .record доказательства;
#   4 что стережёт     — какое правило ядра эта подделка не даёт ослабить;
#   5 ожидаемый исход  — код чекера: «1» либо «0|3» (см. класс);
#   6 класс            — «лжёт-запись» либо «лжёт-программа»;
#   7 заведена         — дата первого коммита исходника.
#
# ДВА КЛАССА, И ОНИ РАЗВОДЯТ ТО, ЧТО ПРЕЖДЕ БЫЛО СМЕШАНО:
#   лжёт-запись     — запись ПРОТИВОРЕЧИТ исходнику: она объявляет доказанным
#                     то, чего записанные ходы не проигрывают. Обязателен код 1;
#                     приём кодом 0 — провал набора. Обязательства такой записи
#                     в числитель не попадают НИКОГДА, и линейка выносит их из
#                     знаменателя как недостижимые;
#   лжёт-программа  — ложна ПРОГРАММА, а запись честна: она записывает, что ядро
#                     на ложной половине ничего не доказало, и записывает всё,
#                     что ядро доказало на честной половине того же файла. Верен
#                     код 0 либо 3; отказ кодом 1 — провал: значит честная
#                     половина перестала доказываться.
#
# КЛАСС КАЖДОЙ СТРОКИ ПОДТВЕРЖДЁН ЧТЕНИЕМ ШАПКИ ИСХОДНИКА (ADR-0023 §9), а не
# взят по умолчанию. Шапки всех 31 говорят одно: ложна программа, и ложная
# половина обязана остаться недоказанной. Единственное исключение —
# poddelka-svyortka-nad-pustym: там лжёт САМА ЗАПИСЬ (ход «закрыть тождеством»
# при разных сторонах равенства и «ход конец» без «ход цель»), и чекер это
# опровергает кодом 1 словами «НЕ СОШЛОСЬ».
#
# ГДЕ ЗАМЕР РАЗОШЁЛСЯ С ОЖИДАНИЕМ ADR. ADR-0023 §4.1 ждал ДВЕ строки класса
# «лжёт-запись» — poddelka-svyortka-nad-pustym и poddelka-svyortka-shagom.
# Замер 8 сентября 2026 на этом дереве: у второй чекер печатает дословно
# «запись не противоречит исходнику» и даёт код 3. Значит её класс —
# «лжёт-программа», и в наборе строк класса «лжёт-запись» сегодня ОДНА.
#
# СПИСОК ЗАКРЫТ И ХОДИТ ПОД ХРАПОВИКОМ (ratchet.txt): убыль строк роняет
# вердикт «ДОКАЗУЕМ». Прибавлять — руками и с доводом в коммите.
#
имя	исходник	запись	что стережёт	ожидаемый исход	класс	заведена
poddelka-nachalo-po-postroeniyu	flang/test/fixtures/poddelka-nachalo-po-postroeniyu.flang	flang/proof/checker/tests/records/corpus/poddelka-nachalo-po-postroeniyu.record	начало по построению: ни правый кусок склейки, ни одна ветвь, ни сличение не с начала	0|3	лжёт-программа	2026-08-23
poddelka-ogovorka-o-konechnosti	flang/test/fixtures/poddelka-ogovorka-o-konechnosti.flang	flang/proof/checker/tests/records/corpus/poddelka-ogovorka-o-konechnosti.record	оговорка о конечности читается ядром лишь в четырёх названных границах	0|3	лжёт-программа	2026-08-21
poddelka-order-arithmetic	flang/test/fixtures/poddelka-order-arithmetic.flang	flang/proof/checker/tests/records/corpus/poddelka-order-arithmetic.record	у рефлексивности и монотонности сложения есть посылка про не-число	0|3	лжёт-программа	2026-08-24
poddelka-porjadok-sosednih	flang/test/fixtures/poddelka-porjadok-sosednih.flang	flang/proof/checker/tests/records/corpus/poddelka-porjadok-sosednih.record	порядок соседних по построению не читает ложную ветвь фактом	0|3	лжёт-программа	2026-08-20
poddelka-protivorechie	flang/test/fixtures/poddelka-protivorechie.flang	flang/proof/checker/tests/records/corpus/poddelka-protivorechie.record	список несовместимых пар закрыт: на совместимых допущениях правило молчит	0|3	лжёт-программа	2026-08-22
poddelka-ravenstvo-v-tele-ne-dokazyvaet	flang/test/fixtures/poddelka-ravenstvo-v-tele-ne-dokazyvaet.flang	flang/proof/checker/tests/records/corpus/poddelka-ravenstvo-v-tele-ne-dokazyvaet.record	разрешение сличать в теле — не разрешение выводить равенство	0|3	лжёт-программа	2026-08-21
poddelka-razbor-sluchaev	flang/test/fixtures/poddelka-razbor-sluchaev.flang	flang/proof/checker/tests/records/corpus/poddelka-razbor-sluchaev.record	разбор случаев сводит цель ДВАЖДЫ, а не кладёт дизъюнкт в факты	0|3	лжёт-программа	2026-08-21
poddelka-razbor-spiska	flang/test/fixtures/poddelka-razbor-spiska.flang	flang/proof/checker/tests/records/corpus/poddelka-razbor-spiska.record	разбор списка по построению: две двери, и ветвь выбирается точно	0|3	лжёт-программа	2026-08-24
poddelka-razbor-vnutrennim	flang/test/fixtures/poddelka-razbor-vnutrennim.flang	flang/proof/checker/tests/records/corpus/poddelka-razbor-vnutrennim.record	разбор внутренним условием требует ОБЕИХ половин	0|3	лжёт-программа	2026-08-22
poddelka-razdvoenie-diz	flang/test/fixtures/poddelka-razdvoenie-diz.flang	flang/proof/checker/tests/records/corpus/poddelka-razdvoenie-diz.record	расщепляется РОВНО конъюнкция в допущении, а не дизъюнкция	0|3	лжёт-программа	2026-08-21
poddelka-refleksivnost	flang/test/fixtures/poddelka-refleksivnost.flang	flang/proof/checker/tests/records/corpus/poddelka-refleksivnost.record	снятый запрет равенства в позиции утверждения не даёт права на вывод	0|3	лжёт-программа	2026-08-20
poddelka-slova-celey	flang/test/fixtures/poddelka-slova-celey.flang	flang/proof/checker/tests/records/corpus/poddelka-slova-celey.record	экранирование имён у восьми целей печати: занятое слово не ломает печать	0|3	лжёт-программа	2026-08-21
poddelka-slovo-o-dokazannosti	flang/test/fixtures/poddelka-slovo-o-dokazannosti.flang	flang/proof/checker/tests/records/corpus/poddelka-slovo-o-dokazannosti.record	сильное слово о доказанности нельзя сказать про слабое основание	0|3	лжёт-программа	2026-08-21
poddelka-snyatie-storozha	flang/test/fixtures/poddelka-snyatie-storozha.flang	flang/proof/checker/tests/records/corpus/poddelka-snyatie-storozha.record	сторож постусловия снимается лишь при «доказано обо ВСЕХ входах» и при примерах	0|3	лжёт-программа	2026-08-20
poddelka-sortirovka-ne-ubyvaet	flang/test/fixtures/poddelka-sortirovka-ne-ubyvaet.flang	flang/proof/checker/tests/records/corpus/poddelka-sortirovka-ne-ubyvaet.record	«сортировка не убывает» ложно на «не числе» и обязано остаться недоказанным	0|3	лжёт-программа	2026-08-20
poddelka-strict-order	flang/test/fixtures/poddelka-strict-order.flang	flang/proof/checker/tests/records/corpus/poddelka-strict-order.record	строгий порядок по построению: строгость обязана прийти НАЗВАННОЙ	0|3	лжёт-программа	2026-08-24
poddelka-svyortka-nad-pustym	flang/test/fixtures/poddelka-svyortka-nad-pustym.flang	flang/proof/checker/tests/records/corpus/poddelka-svyortka-nad-pustym.record	свёртка над пустым переписывается лишь при известной пустоте ИМЕННО ЭТОГО списка	1	лжёт-запись	2026-08-23
poddelka-svyortka-shagom	flang/test/fixtures/poddelka-svyortka-shagom.flang	flang/proof/checker/tests/records/corpus/poddelka-svyortka-shagom.record	шаг свёртки стоит под связывателем: внешнее равенство витку не подсунуть	0|3	лжёт-программа	2026-08-20
poddelka-vhozhdenie	flang/test/fixtures/poddelka-vhozhdenie.flang	flang/proof/checker/tests/records/corpus/poddelka-vhozhdenie.record	вхождение по построению: «добавить э к л» не говорит ничего про «д»	0|3	лжёт-программа	2026-08-20
poddelka-nositel-chislo-segment	flang/proof/checker/tests/families/carrier/number-segment.flang	flang/proof/checker/tests/records/corpus/poddelka-nositel-chislo-segment.record	носитель segment над доводом типа «число»: отрезка с дном у него нет, принцип по нему ядро не печатает (6203 §2.3, П1); до Ш0 сверщик отвечал кодом 3	1	лжёт-запись	2026-09-09
poddelka-nositel-psevdonim-ne-otrezok	flang/proof/checker/tests/families/carrier/alias-not-a-segment.flang	flang/proof/checker/tests/records/corpus/poddelka-nositel-psevdonim-ne-otrezok.record	носитель segment над псевдонимом к «число» (тип «Мера» это число): объявление читается по цепочке, отрезка там нет (6203, З2); до Ш0 сверщик отвечал кодом 3	1	лжёт-запись	2026-09-09
poddelka-raznost-bez-poryadka	flang/proof/examples/forgery-subtraction-under-precondition.flang	flang/proof/checker/tests/records/corpus/poddelka-raznost-bez-poryadka.record	разность под порядком (Н12, ADR-0032 §2): вывод «( цена минус скидка ) не меньше 0» подсунут трём функциям, у которых допущения «скидка не больше цена» нет — о другой паре, перевёрнуто, нет вовсе; сверщик обязан назвать «порядок не записан»	1	лжёт-запись	2026-09-11
poddelka-razv2-sebya	flang/proof/checker/tests/programs/audit-2844/unfold2-itself.flang	flang/proof/checker/tests/records/corpus/poddelka-razv2-sebya.record	развёртка Разв2 без вопроса о захвате (аудит 2844): тело «э» встаёт под квантор цели «для всех э из [1, 2] : не ( э больше результат )» — связанное э цели ловит свободное э тела; при э = 0 обещание ложно (ядро печатает FLANG_PROPERTY), а сверщик принимал кодом 0	1	лжёт-запись	2026-09-19
poddelka-razv3-raznost	flang/proof/checker/tests/programs/audit-2844/unfold3-difference.flang	flang/proof/checker/tests/records/corpus/poddelka-razv3-raznost.record	развёртка Разв3 доводами по одному (аудит 2844): «Разность» от б и а при теле «а минус б» есть «б минус а», а подстановка по одному (а := б, потом б := а) даёт «а минус а»; при а = 0, б = 1 результат 1, обещано 0 — сверщик принимал кодом 0	1	лжёт-запись	2026-09-19
