# РАЗБОР ПРОВЕРОК, УМИРАЮЩИХ ВМЕСТЕ С JavaScript — по утверждениям, а не по файлам.
# Дерево: коммит 4780c595, ветка vypusk/zamestit-proverki. 886 блоков test(...) в 37 файлах.
# Категории: A1 — держит пример внутри .flang (переживёт выброс); A2 — держит только сверка
# self-*.test.mjs (умрёт вместе с JavaScript, но предмет — эталон на flang, перенос дешёвый);
# B — переносимо на flang test примером; C — выразимо только снаружи языка (прогонщик, C, фаззинг);
# D — не замещается ничем.
файл	название теста	категория	улика или довод
flang/test/index-bounds.test.mjs:305	ЗАСЛОН не трогает то, что печать умеет: `голова` доказана и помечена	A2	A2: flang/test/self-types.test.mjs:382 (ПРАВИЛА «литерал списка знает длину точно», отметок 1) + прогон :438
flang/test/index-bounds.test.mjs:316	обе формы класса номера — частичные, и список этого не забыл	A1	A1: flang/self/failures.flang:223-228 (пример «элемент частичен» → да) и :230-232 («Имена частичных форм» содержит элемент, символ, подстрока)
flang/test/index-bounds.test.mjs:347	`подстрока` доказана ЧЕТЫРЬМЯ фактами: Ф1 отрезком, Ф2 и Ф3 длиной, Ф4 — двумя именами	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:353	Ф1 обязателен: без `н больше 0` номер уходит левее начала строки	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:360	Ф2 обязателен: без `н не больше (длина т)` начало уходит правее конца	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:367	Ф3 обязателен: без `м не больше (длина т)` срез вылезает за конец	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:374	Ф4 обязателен: три старых факта БЕЗ отношения двух имён не доказывают ничего	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:385	числовая дорога у Ф4 работает без всяких имён: `с 1 по 2` при длине не меньше двух	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:398	ПОДДЕЛКА Ф4 «про другое имя»: `н не больше к` вместо `н не больше м`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:409	ПОДДЕЛКА Ф4 «про другое сравнение»: `н не меньше м` — отношение обратное	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:419	ПОДДЕЛКА Ф4 «про другое выражение»: `н не больше (м плюс 0)` — не имя	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:429	ПОДДЕЛКА Ф4 «через отрицание»: ветвь `иначе` от `н больше м` знания НЕ даёт	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:444	ПОДДЕЛКА: отношение с ИМЕНЕМ СПИСКА в наборе чисел не оказывается	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:467	ПОДДЕЛКА: `н не больше м` НЕ доказывает `элемент н в эл` — наборы не путаются	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:480	ПОТЕРЯ на арифметике: `н плюс 0` — другое число, и знания о нём нет	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:485	ПОТЕРЯ на перевязке имени: связать `м` заново — и Ф4 отменён	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:497	`требует` кладёт четыре факта подстроки той же `сузить`, что читает `если`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:508	ЗАСЛОН печати стоит и над `подстрокой`: анализ доказал, отметки нет	B	B: половина держится (flang/test/self-types.test.mjs:423 «подстрока» не снимается, ждём 0); половина «анализ доказал» требует поля «доказаныАнализом»
flang/test/index-bounds.test.mjs:526	«последний элемент»: `элемент (длина эл) в эл` при доказанной непустоте	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:536	`требует` кладёт ту же непустоту: сторожа в теле нет вовсе	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:547	та же память у СТРОКИ: `символ (длина эл) в эл`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:558	длина, СВЯЗАННАЯ ИМЕНЕМ, помнит контейнер и через `пусть`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:572	ПОДДЕЛКА «пустой не отвергнут»: без непустоты место остаётся сторожем	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:584	ПОДДЕЛКА «чужой контейнер»: `длина др`, а берётся из `эл`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:594	ПОДДЕЛКА «арифметика»: `(длина эл) минус 1` НЕ доказывает `элемент`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:610	ПОДДЕЛКА «чужая база»: та же запись при базе 0 НЕ доказана	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:624	ПОДДЕЛКА «выражение вместо имени»: `длина (добавить …)` имени не даёт	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:655	`подстрока т с 1 по (длина т)` доказана БЕЗ непустоты — и это верно	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:663	та же запись при базе 0 НЕ доказана: четвёртый факт теряет базу	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:672	`подстрока т с 2 по (длина т)` требует непустоты — и получает её от `требует`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:683	ПОДДЕЛКА «пустая не отвергнута»: та же запись без непустоты остаётся сторожем	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:689	ПОДДЕЛКА «чужое имя»: `подстрока т с 1 по (длина др)`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:694	ПОДДЕЛКА «чужое имя» при базе 0 — тоже отвергнута	B	B: база — свойство программы и на flang (flang/self/types.flang:6689-6693, «База номера программы», умолчание 1); счёт мест — как выше, через «доказаныАнализом»
flang/test/index-bounds.test.mjs:702	ПОДДЕЛКА «конец без верха»: `подстрока т с 1 по н` при любом `н: нат`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:708	ПОДДЕЛКА «отрезок вывернут»: `подстрока т с 3 по 1`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:722	ПОДДЕЛКА «А ≤ Б между двумя именами»: `подстрока т с нач по кон` не доказана	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:737	`подстрока т с нач по нач` доказана равенством ИСТОЧНИКА, а не чисел	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:750	`подстрока т с (длина т) по (длина т)` — тот же источник у ВСТРОЕННОЙ формы	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:761	ПОДДЕЛКА «источник только похож»: `с (длина т) по (длина др)`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:771	ПОДДЕЛКА «NaN»: `подстрока т с (0 делить на 0) по (0 делить на 0)`	B	B: утверждение — значение, но `0 делить на 0` сегодня сам отвергается кодом FLANG_NOT_A_NUMBER, поэтому программу примера придётся писать иначе
flang/test/index-bounds.test.mjs:778	ПОДДЕЛКА «дробный номер»: `подстрока т с 1.5 по 1.5` тем же заслоном	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:786	`подстрока т с 1 по ((длина т) минус 1)` доказана: нестрогое стало строгим	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:799	ПОДДЕЛКА «чужое имя под вычитанием»: `((длина др) минус 1)`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:809	ПОДДЕЛКА «сложение»: `((длина т) плюс 1)` знания не несёт	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:821	ПОТЕРЯ «вычитание нуля»: `((длина т) минус 0)` знания не проносит	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:833	ПОДДЕЛКА «вычитание из чужого»: `(н минус 1)` без знания об имени	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:839	ЗАСЛОН: доказанная `подстрока` НЕ получает отметки — свод не сдвинется	B	B: половина держится (flang/test/self-types.test.mjs:423 «подстрока» не снимается, ждём 0); половина «анализ доказал» требует поля «доказаныАнализом»
flang/test/index-bounds.test.mjs:849	`подстрока` — частичная форма, и список этого не забыл	A1	A1: flang/self/failures.flang:231-233 («Имена частичных форм» содержит «подстрока»); пример на функции — :226-228, он пинует «элемент»
flang/test/index-bounds.test.mjs:879	СЕТКА: на 968 входах доказанное безопасно, а безопасное доказано	B	B: обе стороны — значения («Проверить типы» flang/self/types.flang:6723 и «Форма подстрока при вычислении» flang/self/interpret.flang:3074, вариант «Отказ формы»); 968 строк на полную проверку типов — самый дорогой перенос всего набора
flang/test/index-bounds.test.mjs:961	сторож целости открывает класс: `число` со сторожем доказывается как `нат`	A2	A2: flang/test/self-types.test.mjs:1045-1058 (ПАРА_НОМЕРА[0]) + прогон :1204-1211
flang/test/index-bounds.test.mjs:969	ПОДДЕЛКА — чужое имя: сторож про одно число, номер другое	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:983	ПОДДЕЛКА — перевёрнутое сравнение: остаток от ДВУХ, а не от единицы	A2	A2: flang/test/self-types.test.mjs:1073-1086 (ПАРА_НОМЕРА[2]) + прогон :1216-1220
flang/test/index-bounds.test.mjs:991	ПОДДЕЛКА — другое правое число: остаток сравнивается с единицей	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:999	ПОДДЕЛКА — потолок ниоткуда: сторож целости без связи с длиной	A2	A2: flang/test/self-types.test.mjs:1059-1072 (ПАРА_НОМЕРА[1]) + прогон :1211-1215
flang/test/index-bounds.test.mjs:1018	ПОДДЕЛКА — цель на не-числе: сторож не спасает `0 делить на 0`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:1032	ПОДДЕЛКА — ветвь `иначе`: отказ сторожа целости не говорит ничего	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:1061	СЧЁТНАЯ УЛИКА ПРАВИЛА: `(−0 остаток от 1) равен 0` ложно, и это ВЫЧИСЛЕНО	B	B: `(х остаток от 1) равен 0` пишется на flang дословно (`равен` — это Object.is); NaN и ±бесконечность в примере придётся получать выражением, а не литералом
flang/test/index-bounds.test.mjs:1097	Ф4 через вычитание: `подстрока X с (Е минус к) по Е` доказывается	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:1107	ПОДДЕЛКА — вычет из ДРУГОГО источника: конец не тот, из чего вычитали	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:1123	ПОДДЕЛКА — вычет НЕ литералом: выражение справа не читается	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
flang/test/index-bounds.test.mjs:1134	ПОДДЕЛКА — сложение вместо вычитания: `Е плюс к` не меньше `Е`	B	B: счёт доказанных мест — значение (flang/self/types.flang:6570-6575, «Итог проверки», поле «доказаны»); для «элемент/символ/подстрока» нужно вывести наружу ещё «доказаныАнализом» — заслон печати flang/self/types.flang:6606-6620 обнуляет их
