цель	судья	род	было	стало	идентификатор
python	связывание	тип	Связывание	Связывание Python	sozdat_svyazyvanie_python
python	связывание	тип	Связывание параметров	Связывание параметров Python	sozdat_svyazyvanie_parametrov_python
python	связывание	тип	Случай печати	Случай печати Python	sozdat_sluchay_pechati_python
python	связывание	тип	Состояние	Состояние Python	sozdat_sostoyanie_python
python	связывание	тип	Сумма типов	Сумма типов Python	sozdat_summa_tipov_python
python	связывание	тип	Тарьян	Тарьян Python	sozdat_taryan_python
python	связывание	тип	Тела	Тела Python	sozdat_tela_python
python	связывание	тип	Файл	Файл Python	sozdat_fayl_python
python	связывание	тип	Функция	Функция Python	sozdat_funkciya_python
python	связывание	функция	Аргумент можно оставить	Аргумент можно оставить Python	argument_mozhno_ostavit_python
python	связывание	функция	Аргументы после ctx	Аргументы после ctx Python	argumenty_posle_ctx_python
python	связывание	функция	Арности форм	Арности форм Python	arnosti_form_python
python	связывание	функция	Без перевода в конце	Без перевода в конце Python	bez_perevoda_v_konce_python
python	связывание	функция	Без последней строки	Без последней строки Python	bez_posledney_stroki_python
python	связывание	функция	В нижний регистр	В нижний регистр Python	v_nizhniy_registr_python
python	связывание	функция	Ветвь без проверки	Ветвь без проверки Python	vetv_bez_proverki_python
python	связывание	функция	Ветвь с проверкой	Ветвь с проверкой Python	vetv_s_proverkoy_python
python	связывание	функция	Ветка диспетчера	Ветка диспетчера Python	vetka_dispetchera_python
python	связывание	функция	Взять поле	Взять поле Python	vzyat_pole_python
python	связывание	функция	Вид узла	Вид узла Python	vid_uzla_python
python	связывание	функция	Временное	Временное Python	vremennoe_python
python	связывание	функция	Все вызовы	Все вызовы Python	vse_vyzovy_python
python	связывание	функция	Выбор оболочки	Выбор оболочки Python	vybor_obolochki_python
python	связывание	функция	Глубже	Глубже Python	glubzhe_python
python	связывание	функция	Готовая проверка	Готовая проверка Python	gotovaya_proverka_python
python	связывание	функция	Граница слова	Граница слова Python	granica_slova_python
python	связывание	функция	Добавить вызов	Добавить вызов Python	dobavit_vyzov_python
python	связывание	функция	Добавить имя вызова	Добавить имя вызова Python	dobavit_imya_vyzova_python
python	связывание	функция	Добавить уникальное	Добавить уникальное Python	dobavit_unikalnoe_python
python	связывание	функция	Договор на двери	Договор на двери Python	dogovor_na_dveri_python
python	связывание	функция	Дописать слово	Дописать слово Python	dopisat_slovo_python
python	связывание	функция	Есть батут	Есть батут Python	est_batut_python
python	связывание	функция	Есть в таблице	Есть в таблице Python	est_v_tablice_python
python	связывание	функция	Есть имя модуля	Есть имя модуля Python	est_imya_modulya_python
python	связывание	функция	Есть метка	Есть метка Python	est_metka_python
python	связывание	функция	Есть поле у узла	Есть поле у узла Python	est_pole_u_uzla_python
python	связывание	функция	Есть слово	Есть слово Python	est_slovo_python
python	связывание	функция	Есть функция с именем	Есть функция с именем Python	est_funkciya_s_imenem_python
python	связывание	функция	Закрыть вершину	Закрыть вершину Python	zakryt_vershinu_python
python	связывание	функция	Заменить взятое	Заменить взятое Python	zamenit_vzyatoe_python
python	связывание	функция	Заменить низ	Заменить низ Python	zamenit_niz_python
python	связывание	функция	Заменить счётчик	Заменить счётчик Python	zamenit_schyotchik_python
python	связывание	функция	Замены в нижний регистр	Замены в нижний регистр Python	zameny_v_nizhniy_registr_python
python	связывание	функция	Замены кириллицы	Замены кириллицы Python	zameny_kirillicy_python
python	связывание	функция	Занять имя	Занять имя Python	zanyat_imya_python
python	связывание	функция	Записать компоненту	Записать компоненту Python	zapisat_komponentu_python
python	связывание	функция	Записать ошибку	Записать ошибку Python	zapisat_oshibku_python
python	связывание	функция	Змейка	Змейка Python	zmeyka_python
python	связывание	функция	Значение по ключу	Значение по ключу Python	znachenie_po_klyuchu_python
python	связывание	функция	Идентификаторы для	Идентификаторы для Python	identifikatory_dlya_python
python	связывание	функция	Идентификаторы параметров	Идентификаторы параметров Python	identifikatory_parametrov_python
python	связывание	функция	Имена вариантов	Имена вариантов Python	imena_variantov_python
python	связывание	функция	Имена записей	Имена записей Python	imena_zapisey_python
python	связывание	функция	Имена полей типа	Имена полей типа Python	imena_poley_tipa_python
python	связывание	функция	Имена рёбер	Имена рёбер Python	imena_ryober_python
python	связывание	функция	Имена функций	Имена функций Python	imena_funkciy_python
python	связывание	функция	Имя модуля	Имя модуля Python	imya_modulya_python
python	связывание	функция	Имя файла программы	Имя файла программы Python	imya_fayla_programmy_python
python	связывание	функция	Исходник модуля	Исходник модуля Python	ishodnik_modulya_python
python	связывание	функция	Каноническое имя формы	Каноническое имя формы Python	kanonicheskoe_imya_formy_python
python	связывание	функция	Компоненты связности	Компоненты связности Python	komponenty_svyaznosti_python
python	связывание	функция	Контекст двери	Контекст двери Python	kontekst_dveri_python
python	связывание	функция	Корень Тарьяна	Корень Тарьяна Python	koren_taryana_python
python	связывание	функция	Между	Между Python	mezhdu_python
python	связывание	функция	Меньшее	Меньшее Python	menshee_python
python	связывание	функция	Метка или ноль	Метка или ноль Python	metka_ili_nol_python
python	связывание	функция	Найти в таблице	Найти в таблице Python	nayti_v_tablice_python
python	связывание	функция	Найти метку	Найти метку Python	nayti_metku_python
python	связывание	функция	Найти функцию	Найти функцию Python	nayti_funkciyu_python
python	связывание	функция	Начальное взятое	Начальное взятое Python	nachalnoe_vzyatoe_python
python	связывание	функция	Начальный контекст	Начальный контекст Python	nachalnyy_kontekst_python
python	связывание	функция	Неизвестный вид	Неизвестный вид Python	neizvestnyy_vid_python
python	связывание	функция	Обновить вариант типа	Обновить вариант типа Python	obnovit_variant_tipa_python
python	связывание	функция	Обновить запись типа	Обновить запись типа Python	obnovit_zapis_tipa_python
python	связывание	функция	Обновить метку	Обновить метку Python	obnovit_metku_python
python	связывание	функция	Обновить пару	Обновить пару Python	obnovit_paru_python
python	связывание	функция	Обойти вершину	Обойти вершину Python	oboyti_vershinu_python
python	связывание	функция	Обратное ребро	Обратное ребро Python	obratnoe_rebro_python
python	связывание	функция	Обход всего	Обход всего Python	obhod_vsego_python
python	связывание	функция	Обход полей	Обход полей Python	obhod_poley_python
python	связывание	функция	Обход хвоста	Обход хвоста Python	obhod_hvosta_python
python	связывание	функция	Обход хвоста ветвей	Обход хвоста ветвей Python	obhod_hvosta_vetvey_python
python	связывание	функция	Обход хвоста случаев	Обход хвоста случаев Python	obhod_hvosta_sluchaev_python
python	связывание	функция	Обход хвоста случая	Обход хвоста случая Python	obhod_hvosta_sluchaya_python
python	связывание	функция	Описание функции	Описание функции Python	opisanie_funkcii_python
python	связывание	функция	Ошибка образца	Ошибка образца Python	oshibka_obrazca_python
python	связывание	функция	Первая из меток	Первая из меток Python	pervaya_iz_metok_python
python	связывание	функция	Первая из функций	Первая из функций Python	pervaya_iz_funkciy_python
python	связывание	функция	Первое из пар	Первое из пар Python	pervoe_iz_par_python
python	связывание	функция	Первое из полей	Первое из полей Python	pervoe_iz_poley_python
python	связывание	функция	Первый символ	Первый символ Python	pervyy_simvol_python
python	связывание	функция	Печать Makefile	Печать Makefile Python	pechat_makefile_python
python	связывание	функция	Печать батута	Печать батута Python	pechat_batuta_python
python	связывание	функция	Печать ветви	Печать ветви Python	pechat_vetvi_python
python	связывание	функция	Печать вызова	Печать вызова Python	pechat_vyzova_python
python	связывание	функция	Печать диспетчера	Печать диспетчера Python	pechat_dispetchera_python
python	связывание	функция	Печать если	Печать если Python	pechat_esli_python
python	связывание	функция	Печать записи	Печать записи Python	pechat_zapisi_python
python	связывание	функция	Печать значения	Печать значения Python	pechat_znacheniya_python
python	связывание	функция	Печать известной формы	Печать известной формы Python	pechat_izvestnoy_formy_python
python	связывание	функция	Печать конструктора	Печать конструктора Python	pechat_konstruktora_python
python	связывание	функция	Печать конструктора варианта	Печать конструктора варианта Python	pechat_konstruktora_varianta_python
python	связывание	функция	Печать литерала	Печать литерала Python	pechat_literala_python
python	связывание	функция	Печать операции	Печать операции Python	pechat_operacii_python
python	связывание	функция	Печать переменной	Печать переменной Python	pechat_peremennoy_python
python	связывание	функция	Печать поля записи	Печать поля записи Python	pechat_polya_zapisi_python
python	связывание	функция	Печать помощника операции	Печать помощника операции Python	pechat_pomoschnika_operacii_python
python	связывание	функция	Печать программы	Печать программы Python	pechat_programmy_python
python	связывание	функция	Печать простой функции	Печать простой функции Python	pechat_prostoy_funkcii_python
python	связывание	функция	Печать пусть	Печать пусть Python	pechat_pust_python
python	связывание	функция	Печать разбора	Печать разбора Python	pechat_razbora_python
python	связывание	функция	Печать разбора значением	Печать разбора значением Python	pechat_razbora_znacheniem_python
python	связывание	функция	Печать свёртки	Печать свёртки Python	pechat_svyortki_python
python	связывание	функция	Печать свёртки дальше	Печать свёртки дальше Python	pechat_svyortki_dalshe_python
python	связывание	функция	Печать скаляра	Печать скаляра Python	pechat_skalyara_python
python	связывание	функция	Печать списка	Печать списка Python	pechat_spiska_python
python	связывание	функция	Печать тел	Печать тел Python	pechat_tel_python
python	связывание	функция	Печать фабрики	Печать фабрики Python	pechat_fabriki_python
python	связывание	функция	Печать формы	Печать формы Python	pechat_formy_python
python	связывание	функция	Печать функции	Печать функции Python	pechat_funkcii_python
python	связывание	функция	Печать хвоста	Печать хвоста Python	pechat_hvosta_python
python	связывание	функция	Печать цикла	Печать цикла Python	pechat_cikla_python
python	связывание	функция	Печать цикла дальше	Печать цикла дальше Python	pechat_cikla_dalshe_python
python	связывание	функция	Поле узла	Поле узла Python	pole_uzla_python
python	связывание	функция	Положить в	Положить в Python	polozhit_v_python
python	связывание	функция	Положить в таблицу	Положить в таблицу Python	polozhit_v_tablicu_python
python	связывание	функция	Положить метку	Положить метку Python	polozhit_metku_python
python	связывание	функция	Поля узла	Поля узла Python	polya_uzla_python
python	связывание	функция	Пометка вида типа	Пометка вида типа Python	pometka_vida_tipa_python
python	связывание	функция	Пометка имени типа	Пометка имени типа Python	pometka_imeni_tipa_python
python	связывание	функция	Пометка типа	Пометка типа Python	pometka_tipa_python
python	связывание	функция	Помощник формы	Помощник формы Python	pomoschnik_formy_python
python	связывание	функция	Помощники операций	Помощники операций Python	pomoschniki_operaciy_python
python	связывание	функция	Помощники форм	Помощники форм Python	pomoschniki_form_python
python	связывание	функция	Последний символ	Последний символ Python	posledniy_simvol_python
python	связывание	функция	Последняя строка	Последняя строка Python	poslednyaya_stroka_python
python	связывание	функция	Применить замены	Применить замены Python	primenit_zameny_python
python	связывание	функция	Проверить арность вызова	Проверить арность вызова Python	proverit_arnost_vyzova_python
python	связывание	функция	Проверить арность формы	Проверить арность формы Python	proverit_arnost_formy_python
python	связывание	функция	Проверить вариант	Проверить вариант Python	proverit_variant_python
python	связывание	функция	Проверить запись	Проверить запись Python	proverit_zapis_python
python	связывание	функция	Проверить имя записи	Проверить имя записи Python	proverit_imya_zapisi_python
python	связывание	функция	Проверить имя узла	Проверить имя узла Python	proverit_imya_uzla_python
python	связывание	функция	Проверить случай	Проверить случай Python	proverit_sluchay_python
python	связывание	функция	Проверка литералом	Проверка литералом Python	proverka_literalom_python
python	связывание	функция	Проверка образца	Проверка образца Python	proverka_obrazca_python
python	связывание	функция	Проверки договора	Проверки договора Python	proverki_dogovora_python
python	связывание	функция	Пройти части	Пройти части Python	proyti_chasti_python
python	связывание	функция	Просто значение	Просто значение Python	prosto_znachenie_python
python	связывание	функция	Пустая сборка	Пустая сборка Python	pustaya_sborka_python
python	связывание	функция	Пустое состояние	Пустое состояние Python	pustoe_sostoyanie_python
python	связывание	функция	Разрешить вызов	Разрешить вызов Python	razreshit_vyzov_python
python	связывание	функция	Ребро Тарьяна	Ребро Тарьяна Python	rebro_taryana_python
python	связывание	функция	Ребро вглубь	Ребро вглубь Python	rebro_vglub_python
python	связывание	функция	Ребро внутри	Ребро внутри Python	rebro_vnutri_python
python	связывание	функция	Рекурсивная одиночка	Рекурсивная одиночка Python	rekursivnaya_odinochka_python
python	связывание	функция	Рекурсивные функции	Рекурсивные функции Python	rekursivnye_funkcii_python
python	связывание	функция	Рёбра вызовов	Рёбра вызовов Python	ryobra_vyzovov_python
python	связывание	функция	Самовызов в хвосте	Самовызов в хвосте Python	samovyzov_v_hvoste_python
python	связывание	функция	Свежее имя	Свежее имя Python	svezhee_imya_python
python	связывание	функция	Свободное имя	Свободное имя Python	svobodnoe_imya_python
python	связывание	функция	Связать имя	Связать имя Python	svyazat_imya_python
python	связывание	функция	Связать параметр	Связать параметр Python	svyazat_parametr_python
python	связывание	функция	Связать параметр двери	Связать параметр двери Python	svyazat_parametr_dveri_python
python	связывание	функция	Связать поле варианта	Связать поле варианта Python	svyazat_pole_varianta_python
python	связывание	функция	Связки варианта	Связки варианта Python	svyazki_varianta_python
python	связывание	функция	Связывание головы	Связывание головы Python	svyazyvanie_golovy_python
python	связывание	функция	Связывание головы и хвоста	Связывание головы и хвоста Python	svyazyvanie_golovy_i_hvosta_python
python	связывание	функция	Связывание любого	Связывание любого Python	svyazyvanie_lyubogo_python
python	связывание	функция	Связывание образца	Связывание образца Python	svyazyvanie_obrazca_python
python	связывание	функция	Символы слова	Символы слова Python	simvoly_slova_python
python	связывание	функция	Синонимы форм	Синонимы форм Python	sinonimy_form_python
python	связывание	функция	Слить вариант типа	Слить вариант типа Python	slit_variant_tipa_python
python	связывание	функция	Слить варианты суммы	Слить варианты суммы Python	slit_varianty_summy_python
python	связывание	функция	Слить запись типа	Слить запись типа Python	slit_zapis_tipa_python
python	связывание	функция	Слить рёбра	Слить рёбра Python	slit_ryobra_python
python	связывание	функция	Слить строки	Слить строки Python	slit_stroki_python
python	связывание	функция	Слить файлы	Слить файлы Python	slit_fayly_python
python	связывание	функция	Слова	Слова Python	slova_python
python	связывание	функция	Словарные символы	Словарные символы Python	slovarnye_simvoly_python
python	связывание	функция	Слово аргументов	Слово аргументов Python	slovo_argumentov_python
python	связывание	функция	Снять вершину стека	Снять вершину стека Python	snyat_vershinu_steka_python
python	связывание	функция	Снять компоненту	Снять компоненту Python	snyat_komponentu_python
python	связывание	функция	Собрать вариант	Собрать вариант Python	sobrat_variant_python
python	связывание	функция	Собрать варианты	Собрать варианты Python	sobrat_varianty_python
python	связывание	функция	Собрать записи	Собрать записи Python	sobrat_zapisi_python
python	связывание	функция	Собрать общее	Собрать общее Python	sobrat_obschee_python
python	связывание	функция	Собрать параметр	Собрать параметр Python	sobrat_parametr_python
python	связывание	функция	Собрать поле типа	Собрать поле типа Python	sobrat_pole_tipa_python
python	связывание	функция	Собрать поля типа	Собрать поля типа Python	sobrat_polya_tipa_python
python	связывание	функция	Собрать постусловие	Собрать постусловие Python	sobrat_postuslovie_python
python	связывание	функция	Собрать предусловие	Собрать предусловие Python	sobrat_preduslovie_python
python	связывание	функция	Собрать суммы	Собрать суммы Python	sobrat_summy_python
python	связывание	функция	Собрать функции	Собрать функции Python	sobrat_funkcii_python
python	связывание	функция	Собрать функцию	Собрать функцию Python	sobrat_funkciyu_python
python	связывание	функция	Строка аргумента вызова	Строка аргумента вызова Python	stroka_argumenta_vyzova_python
python	связывание	функция	Строка батута	Строка батута Python	stroka_batuta_python
python	связывание	функция	Строка вывода	Строка вывода Python	stroka_vyvoda_python
python	связывание	функция	Строка параметра	Строка параметра Python	stroka_parametra_python
python	связывание	функция	Строка поля	Строка поля Python	stroka_polya_python
python	связывание	функция	Строка поля или	Строка поля или Python	stroka_polya_ili_python
python	связывание	функция	Строка скаляра	Строка скаляра Python	stroka_skalyara_python
python	связывание	функция	Строка узла	Строка узла Python	stroka_uzla_python
python	связывание	функция	Суффикс доказанного помощника	Суффикс доказанного помощника Python	suffiks_dokazannogo_pomoschnika_python
python	связывание	функция	Тело ветви	Тело ветви Python	telo_vetvi_python
python	связывание	функция	Тело отображения	Тело отображения Python	telo_otobrazheniya_python
python	связывание	функция	Тело пусть	Тело пусть Python	telo_pust_python
python	связывание	функция	Тело с постусловиями	Тело с постусловиями Python	telo_s_postusloviyami_python
python	связывание	функция	Тело фильтра	Тело фильтра Python	telo_filtra_python
python	связывание	функция	Тело функции	Тело функции Python	telo_funkcii_python
python	связывание	функция	Тело цикла	Тело цикла Python	telo_cikla_python
python	связывание	функция	Тело циклом	Тело циклом Python	telo_ciklom_python
python	связывание	функция	Только символы слова	Только символы слова Python	tolko_simvoly_slova_python
python	связывание	функция	Транслитерировать	Транслитерировать Python	transliterirovat_python
python	связывание	функция	Узел ничто	Узел ничто Python	uzel_nichto_python
python	связывание	функция	Уникальные имена	Уникальные имена Python	unikalnye_imena_python
python	связывание	функция	Формы, снимаемые непустотой	Формы, снимаемые непустотой Python	formy_snimaemye_nepustotoy_python
python	связывание	функция	Хвост цепочки	Хвост цепочки Python	hvost_cepochki_python
python	связывание	функция	Хвостовое если	Хвостовое если Python	hvostovoe_esli_python
python	связывание	функция	Хвостовое значение	Хвостовое значение Python	hvostovoe_znachenie_python
python	связывание	функция	Хвостовое пусть	Хвостовое пусть Python	hvostovoe_pust_python
python	связывание	функция	Хвостовой возврат	Хвостовой возврат Python	hvostovoy_vozvrat_python
python	связывание	функция	Хвостовой вызов	Хвостовой вызов Python	hvostovoy_vyzov_python
python	связывание	функция	Хвостовой отскок	Хвостовой отскок Python	hvostovoy_otskok_python
python	связывание	функция	Хвостовой цикл	Хвостовой цикл Python	hvostovoy_cikl_python
python	связывание	функция	Хвостовые вызовы	Хвостовые вызовы Python	hvostovye_vyzovy_python
python	связывание	функция	Хвостовые рёбра	Хвостовые рёбра Python	hvostovye_ryobra_python
python	связывание	функция	Цели	Цели Python	celi_python
python	связывание	функция	Цепочка случаев	Цепочка случаев Python	cepochka_sluchaev_python
python	связывание	функция	Циклические функции	Циклические функции Python	ciklicheskie_funkcii_python
python	связывание	функция	Цифры	Цифры Python	cifry_python
python	связывание	функция	Число параметров	Число параметров Python	chislo_parametrov_python
python	связывание	функция	Число скаляра	Число скаляра Python	chislo_skalyara_python
python	связывание	функция	Число узла	Число узла Python	chislo_uzla_python
python	связывание	функция	Члены батута	Члены батута Python	chleny_batuta_python
python	связывание	функция	Члены компоненты	Члены компоненты Python	chleny_komponenty_python
python	связывание	функция	Шаг аргумента	Шаг аргумента Python	shag_argumenta_python
python	связывание	функция	Шаг ветки диспетчера	Шаг ветки диспетчера Python	shag_vetki_dispetchera_python
python	связывание	функция	Шаг временного аргумента	Шаг временного аргумента Python	shag_vremennogo_argumenta_python
python	связывание	функция	Шаг выбора	Шаг выбора Python	shag_vybora_python
python	связывание	функция	Шаг отрезания	Шаг отрезания Python	shag_otrezaniya_python
python	связывание	функция	Шаг поиска слова	Шаг поиска слова Python	shag_poiska_slova_python
python	связывание	функция	Шаг постусловия	Шаг постусловия Python	shag_postusloviya_python
python	связывание	функция	Шаг предусловия	Шаг предусловия Python	shag_predusloviya_python
python	связывание	функция	Шаг присвоения параметра	Шаг присвоения параметра Python	shag_prisvoeniya_parametra_python
python	связывание	функция	Шаг присвоения поля	Шаг присвоения поля Python	shag_prisvoeniya_polya_python
python	связывание	функция	Шаг распаковки	Шаг распаковки Python	shag_raspakovki_python
python	связывание	функция	Шаг рекурсивных	Шаг рекурсивных Python	shag_rekursivnyh_python
python	связывание	функция	Шаг сбора случая	Шаг сбора случая Python	shag_sbora_sluchaya_python
python	связывание	функция	Шаг тела функции	Шаг тела функции Python	shag_tela_funkcii_python
python	связывание	функция	Шаг уникальных	Шаг уникальных Python	shag_unikalnyh_python
python	связывание	функция	Шаг цепочки	Шаг цепочки Python	shag_cepochki_python
python	связывание	функция	Элемент по индексу	Элемент по индексу Python	element_po_indeksu_python
python	связывание	функция	Элементы поля	Элементы поля Python	elementy_polya_python
python	связывание	функция	Элементы узла	Элементы узла Python	elementy_uzla_python
python	связывание	функция	Это запись	Это запись Python	eto_zapis_python
python	связывание	функция	Это идентификатор	Это идентификатор Python	eto_identifikator_python
python	связывание	функция	Это истина	Это истина Python	eto_istina_python
python	связывание	функция	Это истина в скаляре	Это истина в скаляре Python	eto_istina_v_skalyare_python
python	связывание	функция	Это ничто	Это ничто Python	eto_nichto_python
python	связывание	функция	Это ничто в скаляре	Это ничто в скаляре Python	eto_nichto_v_skalyare_python
python	связывание	функция	Это отскок	Это отскок Python	eto_otskok_python
python	связывание	функция	Это признак	Это признак Python	eto_priznak_python
python	связывание	функция	Это признак в скаляре	Это признак в скаляре Python	eto_priznak_v_skalyare_python
python	связывание	функция	Это самовызов	Это самовызов Python	eto_samovyzov_python
python	связывание	функция	Это символ слова	Это символ слова Python	eto_simvol_slova_python
python	связывание	функция	Это список	Это список Python	eto_spisok_python
python	связывание	функция	Это строка	Это строка Python	eto_stroka_python
python	связывание	функция	Это строка в скаляре	Это строка в скаляре Python	eto_stroka_v_skalyare_python
python	связывание	функция	Это число	Это число Python	eto_chislo_python
python	связывание	функция	Это число в скаляре	Это число в скаляре Python	eto_chislo_v_skalyare_python
python	типы	вариант	Есть число	Есть число Python	variant_est_chislo_python
python	типы	вариант	Есть функция	Есть функция Python	variant_est_funkciya_python
python	типы	вариант	Есть имя	Есть имя Python	variant_est_imya_python
python	типы	вариант	Есть узел	Есть узел Python	variant_est_uzel_python
python	типы	вариант	Нет числа	Нет числа Python	variant_net_chisla_python
python	типы	вариант	Нет функции	Нет функции Python	variant_net_funkcii_python
python	типы	вариант	Нет имени	Нет имени Python	variant_net_imeni_python
python	типы	вариант	Нет узла	Нет узла Python	variant_net_uzla_python
java	связывание	тип	Может быть имя	Может быть имя Java	—
java	связывание	тип	Может быть узел	Может быть узел Java	—
java	связывание	тип	Пара имён	Пара имён Java	sozdat_para_imyon_java
java	типы	вариант	Есть имя	Есть имя Java	variant_est_imya_java
java	типы	вариант	Есть узел	Есть узел Java	variant_est_uzel_java
java	типы	вариант	Нет имени	Нет имени Java	variant_net_imeni_java
java	типы	вариант	Нет узла	Нет узла Java	variant_net_uzla_java
csharp	связывание	тип	Блок	Блок CSharp	sozdat_blok_csharp
csharp	связывание	тип	Вариант типа	Вариант типа CSharp	sozdat_variant_tipa_csharp
csharp	связывание	тип	Запись типа	Запись типа CSharp	sozdat_zapis_tipa_csharp
csharp	связывание	тип	Зип	Зип CSharp	sozdat_zip_csharp
csharp	связывание	тип	Именованные идентификаторы	Именованные идентификаторы CSharp	sozdat_imenovannye_identifikatory_csharp
csharp	связывание	тип	Именователь	Именователь CSharp	sozdat_imenovatel_csharp
csharp	связывание	тип	Итог	Итог CSharp	sozdat_itog_csharp
csharp	связывание	тип	Итог образца	Итог образца CSharp	sozdat_itog_obrazca_csharp
csharp	связывание	тип	Итог печати	Итог печати CSharp	sozdat_itog_pechati_csharp
csharp	связывание	тип	Итог связывания	Итог связывания CSharp	sozdat_itog_svyazyvaniya_csharp
csharp	связывание	тип	Компонента	Компонента CSharp	sozdat_komponenta_csharp
csharp	связывание	тип	Контекст	Контекст CSharp	sozdat_kontekst_csharp
csharp	связывание	тип	Метка	Метка CSharp	sozdat_metka_csharp
csharp	связывание	тип	Может быть имя	Может быть имя CSharp	—
csharp	связывание	тип	Может быть узел	Может быть узел CSharp	—
csharp	связывание	тип	Может быть функция	Может быть функция CSharp	—
csharp	связывание	тип	Может быть число	Может быть число CSharp	—
csharp	связывание	тип	Набор имён	Набор имён CSharp	sozdat_nabor_imyon_csharp
csharp	связывание	тип	Настройки	Настройки CSharp	sozdat_nastroyki_csharp
csharp	связывание	тип	Общее	Общее CSharp	sozdat_obschee_csharp
csharp	связывание	тип	Отрезание	Отрезание CSharp	sozdat_otrezanie_csharp
csharp	связывание	тип	Пара имён	Пара имён CSharp	sozdat_para_imyon_csharp
csharp	связывание	тип	Параметр	Параметр CSharp	sozdat_parametr_csharp
csharp	связывание	тип	Поиск слова	Поиск слова CSharp	sozdat_poisk_slova_csharp
csharp	связывание	тип	Поле типа	Поле типа CSharp	sozdat_pole_tipa_csharp
csharp	связывание	тип	Постусловие	Постусловие CSharp	sozdat_postuslovie_csharp
csharp	связывание	тип	Предусловие	Предусловие CSharp	sozdat_preduslovie_csharp
csharp	связывание	тип	Просьба	Просьба CSharp	sozdat_prosba_csharp
csharp	связывание	тип	Рёбра	Рёбра CSharp	sozdat_ryobra_csharp
csharp	связывание	тип	Сбор слов	Сбор слов CSharp	sozdat_sbor_slov_csharp
csharp	связывание	тип	Сбор случаев	Сбор случаев CSharp	sozdat_sbor_sluchaev_csharp
csharp	связывание	тип	Свежее	Свежее CSharp	sozdat_svezhee_csharp
csharp	связывание	тип	Связка	Связка CSharp	sozdat_svyazka_csharp
csharp	связывание	тип	Связывание параметров	Связывание параметров CSharp	sozdat_svyazyvanie_parametrov_csharp
csharp	связывание	тип	Случай печати	Случай печати CSharp	sozdat_sluchay_pechati_csharp
csharp	связывание	тип	Состояние	Состояние CSharp	sozdat_sostoyanie_csharp
csharp	связывание	тип	Сумма типов	Сумма типов CSharp	sozdat_summa_tipov_csharp
csharp	связывание	тип	Тарьян	Тарьян CSharp	sozdat_taryan_csharp
csharp	связывание	тип	Тела	Тела CSharp	sozdat_tela_csharp
csharp	связывание	тип	Файл	Файл CSharp	sozdat_fayl_csharp
csharp	связывание	тип	Функция	Функция CSharp	sozdat_funkciya_csharp
csharp	связывание	функция	Аргумент можно оставить	Аргумент можно оставить CSharp	argument_mozhno_ostavit_csharp
csharp	связывание	функция	Арности форм	Арности форм CSharp	arnosti_form_csharp
csharp	связывание	функция	Без последней строки	Без последней строки CSharp	bez_posledney_stroki_csharp
csharp	связывание	функция	В верхний регистр	В верхний регистр CSharp	v_verhniy_registr_csharp
