# ЧТО: закрытый список правил печати в C — строка на правило: имя, семейство, узел, части, якорь, сличение, доверие. ЗАЧЕМ: один источник для печатника (flang/self/emit-c.flang), протокола перевода и сличителя — имя правила вне списка сличитель отвергает. КТО ЧИТАЕТ: flang/translation/run.sh (awk по первому столбцу, строки с «#» и заголовок «имя» пропускает) сверяет список с RULES[] в flang/translation/matcher.c; сам matcher.c держит тот же список литералом и файл не читает.
# Основание: ADR-0030 «Печатник доказывает КАЖДЫЙ СВОЙ ЗАПУСК, а не себя целиком», задача 1401.
# Заведён 14 сентября 2026.
#
# ЧТО ЭТО. Каждая строка протокола перевода `узел <вид> строка L столбец C правило «имя»`
# называет правило из этого списка. Сличитель (matcher.c) держит тот же список литералом
# `RULES[]` и ОТВЕРГАЕТ имя, которого здесь нет; сходство двух списков стережёт run.sh.
# Печатник (flang/self/emit-c.flang) пишет имена в вызовах «Открыть узел» — по одному на
# место печати; место без имени в этом списке в протокол не попадает и считается
# непокрытым.
#
# ЗАЧЕМ TSV — по тому же доводу, что у flang/proof/tables/inference-rules.tsv: строка на правило,
# читается awk без двоичного, diff показывает ровно изменённое правило.
#
# КОЛОНКИ (разделитель — табуляция, семь полей):
#  1 имя        имя правила, единственное в списке; оно же стоит в протоколе
#  2 семейство  выражение | число | хвост | функция | модуль — что печатает правило
#  3 узел       вид узла исходника (kind разбора) или «—» у правил без узла
#  4 части      метки частей в порядке текста; «гашение» сличитель ставит ПЕРЕД предыдущим
#               ребёнком (см. заголовок «протокол перевода» в emit-c.flang); N — число строк
#  5 якорь      что сличитель читает в исходнике на месте узла (строка L, столбец C)
#  6 сличение   что сличитель переигрывает по тексту C — ровно то, что делает matcher.c
#  7 доверие    что НЕ переигрывается и принимается на слово — названо, а не умолчано;
#               правило, у которого сличения нет вовсе, называется в итоге «НЕ ПРОВЕРЕНО»
#
# ── выражения ───────────────────────────────────────────────────────────────
# ── выражения ───────────────────────────────────────────────────────────────
имя	семейство	узел	части	якорь	сличение	доверие
форма	выражение	builtin	вызов:2	—	fl_value T = fl_nothing(); /* «имя» */; FL_TRY(<помощник>(ctx, <доводы>, &T, error)); доводы — значения детей по порядку	какой помощник у какой формы; слово формы в исходнике (синонимы)
операция-вызовом	выражение	binary	вызов:0|2	—	eq/neq — значение fl_flag(fl_equal(l, r)) / fl_flag(!fl_equal(l, r)), строк нет	прочие операции (gte, lte, sub, concat…) — узлы названы в итоге
арифметика-числом	выражение	binary	сверка:0|1	—	fl_number(<l> <знак> <r>) для add/sub/mul/div по значениям детей; сверка — одна строка формы «if (… .tag != FL_NUMBER …) FL_TRY(fl_not_numbers(ctx, …, error));»	что место доказано числом — решение слоя типов; операция mod; операнды сверки — по форме, не по значению
сравнение-числом	выражение	binary	сверка:0|1	—	fl_flag(<l> <знак> <r>) для gt/gte/lt/lte; сверка — той же формы с fl_not_order	что место доказано числом; операнды сверки — по форме
список	выражение	list	шапка:2, элемент:1×N	«[» или «пустой»	fl_value *A = NULL; FL_TRY(fl_list_alloc(ctx, N, &A, error)); A[i] = <значение i>;; значение fl_list(A, N)	пустой список
запись	выражение	record	сборка:N+3	слово «запись»	fl_value A[N]; A[i] = <значение i>; /* «…» */ по порядку детей; fl_value T = fl_nothing(); FL_TRY(fl_record_new(ctx, <имена>, A, N, &T, error));	массив имён полей и имена в примечаниях
конструктор	выражение	construct	сборка:2|N+3	слово «вариант»	без полей — fl_value T = fl_nothing(); FL_TRY(fl_variant_new(ctx, "Имя", NULL, NULL, 0, &T, error)); с полями — как «запись» с fl_variant_new	имена полей; имя варианта против исходника
свёртка	выражение	fold	шапка:2, объявления:3, взятие:1, гашение:0|1, переработка:1, конец:1, закрытие:1	слово «свёртка»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
отобразить	выражение	map	шапка:2, объявления:4, взятие:1, запись элемента:2, гашение:0|1, конец:1	слово «отобразить»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
отфильтровать	выражение	filter	шапка:2, объявления:4, взятие:1, отбор:4, гашение:0|1, конец:1	слово «отфильтровать»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
все-элементы	выражение	forallIn	шапка:3, взятие:2, гашение:0|1, конец:2	слова «для всех»	fl_value L = fl_nothing(); FL_TRY(fl_require_list(ctx, <значение списка>, "свёртка", &L, error)); bool A = true; /* для всех «имя» */; for (size_t I = 0; A && I < L.as.list.count; I += 1) {; const fl_value E = L.as.list.items[I]; /* «имя» */; гашение — (void)E;; второй ребёнок — «признак» с fl_cond, конец — A = <его значение>; и }; значение узла — fl_flag(A); L, A, I, E — разные имена C	что тело читает элемент именем E (как у «переменная»)
# ── число (место, доказанное числом) ───────────────────────────────────────
число-литерал	число	literal	—	цифры	голое число C против числа исходника	—
число-арифметика	число	binary	сверка:0|1	—	(<l> <знак> <r>) по значениям детей	—
число-распакованное	число	(любой)	—	—	<значение ребёнка>.as.number	—
# ── хвостовая позиция ───────────────────────────────────────────────────────
хвост-значение	хвост	(любой)	возврат:2	—	*result = <значение ребёнка>; return FL_OK;	—
хвост-пусть	хвост	let	объявление:1, гашение:0..1	слово «пусть»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
хвост-если	хвост	if	шапка:1, иначе:1, конец:1	«если»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
хвост-возврат	хвост	call	хвост:1	«Имя»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
хвост-отскок	хвост	call	хвост:N	«Имя»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
хвост-цикл	хвост	call	хвост:N	«Имя»	НЕ переигрывается: сличается только его текст в составе файла	всё правило; узлы названы в итоге числом
# ── функция и модуль: блоки протокола ───────────────────────────────────────
функция	функция	—	шапка, гашение, пролог, …, хвост	строка «функция «Имя»» в исходнике	блок на верху файла с головой «функция «Имя» идентификатор <ид> оболочка <вид>»; шапка, гашение, пролог — перед телом, хвост — после; у каждой функции исходника есть блок и у каждого блока — функция исходника (кроме «применить N», порождённых дефункционализацией)	текст описания и оболочки — сличается байт в байт, но не разбирается
постусловие	функция	(узел выражения)	проверка:6	«обеспечивает «имя»» на строке узла	/* постусловие «имя» */; bool P = false; FL_TRY(fl_post(ctx, <значение>, "имя", "Функция", &P, error)); if (!P) {; } — «Функция» из головы блока	текст сообщения об отказе (пятая строка)
предусловие	функция	(узел выражения)	проверка:6	«требует «имя»» на строке узла	/* требует «имя» */ и те же строки с fl_pre — «Функция» из головы двери	текст сообщения об отказе
дверь	модуль	—	шапка:5, возврат:2	—	только внутри «диспетчера»	текст двери
диспетчер	модуль	—	шапка, хвост	—	блок на верху файла	текст _call/_enter
фабрика	модуль	—	текст	—	блок на верху файла	форма фабрики
конструктор суммы	модуль	—	текст	—	голова «конструктор «Вариант» суммы «Тип»»	форма конструктора
граница входа	модуль	—	текст	—	блок на верху файла	таблица типов входа
план	модуль	—	текст	—	блок на верху файла	печать конкурентности
шапка модуля	модуль	—	текст	—	печатается последней, стоит в файле первой; после неё два перевода строки, между телами — один	содержимое шапки, кроме строковых констант (их сличает «литерал»)
