# ЛОВУШКА ПРОВЕРКИ 1 «КАЛЬКУЛЯТОР СНЯТ?» — по одной цели на каждый вид обязательства.
#
# Читает: scripts/доказуемость.sh, проверка 1. Основание: задача 3781 (ловушка
# вместо грепа), ячейка К11 кластера 6202/6203 (9 сентября 2026).
#
# ЗАЧЕМ ТАБЛИЦА, А НЕ ДВЕ ЦЕЛИ. До К11 ловушка держала две ∀-цели («на слове» —
# их снять можно ТОЛЬКО вычислением, и сверщик обязан их не снимать) и одно
# тождество знак в знак («снята» — обратная половина: сверщик, сломанный до
# «ничего не доказываю», тоже не снял бы ∀-целей, и без обратной половины
# проверку 1 брал бы и он). Обратная половина из одной цели стерегла ОДИН вид
# обязательства из тридцати с лишком, которые сверщик переигрывает: приём узла,
# приём вывода, ходы, шаги теоремы, тотальность могли отвалиться молча, и
# проверка 1 оставалась зелёной. Здесь — по одной цели на КАЖДЫЙ вид, что
# сверщик умеет сегодня (виды сняты по коду: ветки `без_теоремы`/`сверить_теорему`,
# семейства `шаг_вывода`, носители `сверить_покрытие`, виды тотальности).
# Вид, за который сверщик перестал браться, красит проверку 1 своим именем.
# Цели живут ВНЕ корпуса (записи не в пробы/записи/корпус): долю они не двигают.
#
# ХРАПОВИК — рядом, ХРАПОВИК.txt: видов «снята» не меньше названного, целей
# «на слове» не меньше названного. Убыль строки таблицы — красно.
#
# ── КОЛОНКИ, ВОСЕМЬ, РАЗДЕЛИТЕЛЬ — ТАБУЛЯЦИЯ ────────────────────────────────
#  1 вид       имя вида обязательства; ЕДИНСТВЕННОЕ в таблице; оно и печатается
#  2 ждём      снята     — сверщик ОБЯЗАН переиграть цель (обратная половина);
#              на слове  — сверщик ОБЯЗАН оставить цель на слове ядра поимённо
#                          (решающая половина: снял — калькулятор в дереве)
#  3 исходник  путь в дереве; отпечаток sha256 подаётся сверщику третьим доводом
#  4 запись    путь в дереве, ВНЕ пробы/записи/корпус
#  5 цель      имя утверждения / теоремы / тотальности в записи
#  6 след      подстрока, обязанная стоять в ЗАПИСИ: то, чем цель принадлежит
#              своему виду (имя правила вывода, носитель, вид тотальности, ход).
#              Стережёт от «убрать цель, оставив имя»: запись без следа — красно
#  7 признак   регулярное выражение (grep -E), обязанное сойтись с СВОДКОЙ
#              сверщика: счётчик вида больше нуля. «—» — не спрашивается
#  8 код       ожидаемый код возврата сверщика на паре целиком (0 либо 3)
#  9 пометка   «—», либо чем запись отличается от печати ядра: рукотворная
#              правка — не вывод ядра, и читатель ловушки обязан это видеть
#
# Для «снята» проверяется всё четыре: код, имя цели НЕ названо в выводе сверщика
# (названное имя — это либо беда, либо «на слове ядра»), след в записи, признак
# в сводке. Для «на слове» — что имя цели названо строкой «за узел не взялся».
вид	ждём	исходник	запись	цель	след	признак	код	пометка
ходы под постусловием: соседи	снята	flang/proof/чекер/пробы/семьи/sosedi.flang	flang/proof/чекер/пробы/семьи/sosedi.запись	У1 сумма читается в обратном порядке	ход 2 соседи	сведений проиграно заново [1-9]	0	—
ходы под постусловием: развёртка и закрыть тождеством	снята	flang/proof/чекер/пробы/семьи/refleksiv.flang	flang/proof/чекер/пробы/семьи/refleksiv.запись	Р7 сохранение: список тот же	закрыть тождеством	сведений проиграно заново [1-9]	0	—
ходы разбора цели: деление и выбор	снята	flang/proof/чекер/пробы/семьи/razbor-celi/razbor.flang	flang/proof/чекер/пробы/семьи/razbor-celi/razbor.запись	нулевой остаток даёт признак	ход 2 деление	сведений проиграно заново [1-9]	0	—
шаг теоремы «по примеру» в случае	снята	flang/proof/examples/traffic-light.flang	flang/proof/чекер/пробы/записи/Ч71/честная.запись	штраф неотрицателен	по примеру	Шагов по примеру проверено по существу [1-9]	0	—
шаг теоремы «по свойству»	снята	flang/proof/examples/honest-modus-ponens-by-guard.flang	flang/proof/чекер/пробы/записи/3455/честная.запись	на положительном сам вход	по свойству	Шагов по свойству проверено по существу [1-9]	0	—
шаг теоремы вне случая: подстановка тела	снята	flang/proof/examples/corpus-cident.flang	flang/proof/чекер/пробы/записи/Ч76/честная.запись	словарные символы — часть символов слова	по примеру	Шагов по примеру проверено по существу [1-9]	0	—
шаг теоремы над списочным телом: оглавление печати	снята	flang/proof/examples/corpus-case.flang	flang/proof/чекер/пробы/записи/Ч87/честная.запись	поднятие обращает опускание	таблиц 2	Шагов по примеру проверено по существу [1-9]	0	—
вывод, семейство Н (неотрицательность)	снята	flang/proof/чекер/пробы/семьи/вывод/vyvod.flang	flang/proof/чекер/пробы/семьи/вывод/vyvod.запись	сумма пары неотрицательна	вывод 3 Н5	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство П (потолок)	снята	flang/proof/чекер/пробы/семьи/вывод/vyvod.flang	flang/proof/чекер/пробы/семьи/вывод/vyvod.запись	разность под потолком	вывод 3 П5	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство Пред (представимость → П3)	снята	flang/proof/чекер/пробы/семьи/вывод/vyvod.flang	flang/proof/чекер/пробы/семьи/вывод/vyvod.запись	довод под точным потолком	вывод 1 Пред1	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство Т (цель есть допущение)	снята	flang/proof/чекер/пробы/семьи/вывод/vyvod.flang	flang/proof/чекер/пробы/семьи/вывод/vyvod.запись	то же самое допущение	вывод 1 Т1	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство Разв (развёртка плоского определения)	снята	flang/proof/чекер/пробы/семьи/вывод/vyvod.flang	flang/proof/чекер/пробы/семьи/вывод/vyvod.запись	ноль неотрицателен	вывод 2 Разв2	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство О (порядок)	снята	flang/proof/чекер/пробы/семьи/семейства/semeystva.flang	flang/proof/чекер/пробы/семьи/семейства/semeystva.запись	сам довод под границей	вывод 1 О1	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство Д (дно терма)	снята	flang/proof/чекер/пробы/семьи/семейства/semeystva.flang	flang/proof/чекер/пробы/семьи/семейства/semeystva.запись	два под доводом	Д1 ⟨	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство С (строгий порядок)	снята	flang/proof/чекер/пробы/семьи/семейства/semeystva.flang	flang/proof/чекер/пробы/семьи/семейства/semeystva.запись	довод строго ниже	вывод 1 С1	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство СС (порядок соседних)	снята	flang/proof/чекер/пробы/семьи/семейства/semeystva.flang	flang/proof/чекер/пробы/семьи/семейства/semeystva.запись	пустой список не убывает	вывод 1 СС1	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство В (вхождение)	снята	flang/proof/чекер/пробы/семьи/семейства/semeystva.flang	flang/proof/чекер/пробы/семьи/семейства/semeystva.запись	выписанный содержит член	вывод 1 В1	Выводов факта о типе проиграно заново [1-9]	0	—
вывод, семейство Ч (начало строки)	снята	flang/proof/чекер/пробы/семьи/семейства/semeystva.flang	flang/proof/чекер/пробы/семьи/семейства/semeystva.запись	всякая строка начинается собой	вывод 1 Ч1	Выводов факта о типе проиграно заново [1-9]	0	—
обязательство входа, закрытое зовущим	снята	flang/proof/чекер/пробы/семьи/вывод/pred-zov.flang	flang/proof/чекер/пробы/семьи/вывод/pred-zov.запись	разность не выходит за потолок представления	обязательство вход	Выводов факта о типе проиграно заново [1-9]	0	—
тотальность composition	снята	flang/proof/чекер/пробы/семьи/totalnost.flang	flang/proof/чекер/пробы/семьи/totalnost.запись	Сложить	вид composition	сведений проиграно заново [1-9]	0	—
тотальность structure	снята	flang/proof/чекер/пробы/семьи/rec-structure.flang	flang/proof/чекер/пробы/семьи/rec-structure.запись	Длина	вид structure	сведений проиграно заново [1-9]	0	—
тотальность step	снята	flang/proof/чекер/пробы/семьи/rec-step.flang	flang/proof/чекер/пробы/семьи/rec-step.запись	Отсчёт	вид step	сведений проиграно заново [1-9]	0	—
узел, носитель algebra, домен «не больше» (порядок/потолок по телу случая)	снята	flang/proof/чекер/пробы/семьи/algebra-domeny/golova.flang	flang/proof/чекер/пробы/семьи/algebra-domeny/golova.запись	длина головы не больше единицы	сведение «ограниченность точным потолком по построению»	«разбором по случаям» проиграно заново [1-9]	0	—
узел, носитель algebra, домен охраны «если У то Ц иначе да» (конъюнкт охраны по конструктору)	снята	flang/proof/чекер/пробы/семьи/algebra-domeny/ohrana.flang	flang/proof/чекер/пробы/семьи/algebra-domeny/ohrana.запись	у хорошего дерева левое хорошо	сведение «разбор цели по условию»	«разбором по случаям» проиграно заново [1-9]	0	запись правлена руками: у посылки «Пусто» правило заменено на «разбор цели по условию» — ядро печатает «вычисление замкнутой цели», и узел со смешанными правилами приём оставляет вне; см. README семьи и задачу 6204
