# ВЕДОМОСТЬ СОГЛАСИЯ ПРИ ЗАПУСКЕ (ADR-0045, задача 3811).
# ЧТО: инструменты этого дерева, которые НЕ проходят вердикта о доказанности, —
#      их вызов обязан называть «--на-веру» прямо в командной строке.
# ЗАЧЕМ: чтобы согласие было видно там, где оно даётся, а долг — считаемым.
# КТО ЧИТАЕТ: scripts/guards/run-verdict-debt-guard.sh (сверяет с деревом),
#      человек, решающий, что доказывать следующим.
# Поля: файл, слово вердикта, секунд на вердикт, чем снято.
# Снято 18 сентября 2026 двоичным bootstrap/flang из семени партии №2 с правкой
# хозяина (задача 6427): flang io <файл> --plan НетТакогоПлана1234 — план не
# найден, работа не идёт, платим только за вердикт.
flang/scripts/word-guard.fscript	не доказано: утверждений 565: доказано 341, сетка 217, на веру 7 — запуск только по явному согласию: --на-веру	1732	flang io --plan НетТакогоПлана1234
fspec/guard.flang	не доказано: утверждений 75: доказано 38, сетка 37, на веру 0 — запуск только по явному согласию: --на-веру	279	flang io --plan НетТакогоПлана1234
scripts/editors/vim-highlighting.fscript	не доказано: утверждений 39: доказано 33, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	16	flang io --plan НетТакогоПлана1234
scripts/editors/vscode-highlighting.fscript	не доказано: утверждений 35: доказано 29, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	13	flang io --plan НетТакогоПлана1234
scripts/guards/adr-numbers-guard.fscript	не доказано: утверждений 28: доказано 19, сетка 9, на веру 0 — запуск только по явному согласию: --на-веру	3	flang io --plan НетТакогоПлана1234
scripts/guards/child-timeout.fscript	не доказано: утверждений 4: доказано 3, сетка 1, на веру 0 — запуск только по явному согласию: --на-веру	1	flang io --plan НетТакогоПлана1234
scripts/guards/cli-commands-guard.fscript	не доказано: утверждений 5: доказано 4, сетка 1, на веру 0 — запуск только по явному согласию: --на-веру	1	flang io --plan НетТакогоПлана1234
scripts/guards/corpus-runner.fscript	не доказано: утверждений 67: доказано 65, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	4	flang io --plan НетТакогоПлана1234
scripts/guards/dictionary-guard.fscript	не доказано: утверждений 23: доказано 17, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/guards/file-extensions.fscript	не доказано: утверждений 0: доказано 0, сетка 0, на веру 0; замечаний проверки 1, первое — FLANG_EXAMPLE: пример «Бед не	2	flang io --plan НетТакогоПлана1234
scripts/guards/homebrew-formula-guard.fscript	не доказано: утверждений 62: доказано 47, сетка 10, на веру 5 — запуск только по явному согласию: --на-веру	4	flang io --plan НетТакогоПлана1234
scripts/guards/io-dictionary-copies-guard.fscript	не доказано: утверждений 243: доказано 187, сетка 50, на веру 6 — запуск только по явному согласию: --на-веру	47	flang io --plan НетТакогоПлана1234
scripts/guards/jargon-guard.fscript	не доказано: утверждений 2: доказано 0, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	12	flang io --plan НетТакогоПлана1234
scripts/guards/kernel-abilities-guard.fscript	не доказано: утверждений 24: доказано 20, сетка 3, на веру 1 — запуск только по явному согласию: --на-веру	3	flang io --plan НетТакогоПлана1234
scripts/guards/latin-collision-guard.fscript	не доказано: утверждений 165: доказано 97, сетка 68, на веру 0 — запуск только по явному согласию: --на-веру	39	flang io --plan НетТакогоПлана1234
scripts/guards/link-guard.fscript	не доказано: утверждений 85: доказано 37, сетка 48, на веру 0 — запуск только по явному согласию: --на-веру	12	flang io --plan НетТакогоПлана1234
scripts/guards/manpage-guard.fscript	не доказано: утверждений 15: доказано 12, сетка 3, на веру 0 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/guards/name-collision-guard.fscript	не доказано: утверждений 40: доказано 33, сетка 6, на веру 1 — запуск только по явному согласию: --на-веру	8	flang io --plan НетТакогоПлана1234
scripts/guards/name-splicing-guard.fscript	не доказано: утверждений 38: доказано 32, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	5	flang io --plan НетТакогоПлана1234
scripts/guards/no-comments-guard.fscript	не доказано: утверждений 11: доказано 5, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	3	flang io --plan НетТакогоПлана1234
scripts/guards/occupied-names-guard.fscript	не доказано: утверждений 24: доказано 20, сетка 0, на веру 4 — запуск только по явному согласию: --на-веру	4	flang io --plan НетТакогоПлана1234
scripts/guards/release-guard.fscript	не доказано: утверждений 8: доказано 7, сетка 0, на веру 1 — запуск только по явному согласию: --на-веру	1	flang io --plan НетТакогоПлана1234
scripts/guards/stale-pages-guard.fscript	не доказано: утверждений 3: доказано 2, сетка 1, на веру 0 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/guards/tab-host-guard.fscript	не доказано: утверждений 235: доказано 180, сетка 49, на веру 6 — запуск только по явному согласию: --на-веру	45	flang io --plan НетТакогоПлана1234
scripts/guards/traceability-guard.fscript	не доказано: утверждений 48: доказано 25, сетка 23, на веру 0 — запуск только по явному согласию: --на-веру	7	flang io --plan НетТакогоПлана1234
scripts/guards/tree-inventory.fscript	не доказано: утверждений 33: доказано 23, сетка 9, на веру 1 — запуск только по явному согласию: --на-веру	5	flang io --plan НетТакогоПлана1234
scripts/guards/version-guard.fscript	не доказано: утверждений 23: доказано 8, сетка 7, на веру 8 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/guards/сторож-дарвина.fscript	не доказано: утверждений 10: доказано 8, сетка 2, на веру 0 — запуск только по явному согласию: --на-веру	1	flang io --plan НетТакогоПлана1234
scripts/release/path-without-node.fscript	не доказано: утверждений 14: доказано 8, сетка 0, на веру 6 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/release/release-in-c.fscript	не доказано: утверждений 38: доказано 30, сетка 2, на веру 6 — запуск только по явному согласию: --на-веру	5	flang io --plan НетТакогоПлана1234
scripts/seed/bootstrap-point-by-binary.fscript	не доказано: утверждений 7: доказано 6, сетка 1, на веру 0 — запуск только по явному согласию: --на-веру	1	flang io --plan НетТакогоПлана1234
scripts/seed/reprint-freshness.fscript	не доказано: утверждений 11: доказано 8, сетка 3, на веру 0 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/site/emit-dictionary.fscript	не доказано: утверждений 30: доказано 24, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	4	flang io --plan НетТакогоПлана1234
scripts/site/release-body.fscript	не доказано: утверждений 60: доказано 23, сетка 37, на веру 0 — запуск только по явному согласию: --на-веру	260	flang io --plan НетТакогоПлана1234
scripts/site/releases-page-verify.fscript	не доказано: утверждений 60: доказано 23, сетка 37, на веру 0 — запуск только по явному согласию: --на-веру	261	flang io --plan НетТакогоПлана1234
scripts/site/releases-page.fscript	не доказано: утверждений 60: доказано 23, сетка 37, на веру 0 — запуск только по явному согласию: --на-веру	257	flang io --plan НетТакогоПлана1234
scripts/targets/conc-link-emit.fscript	не доказано: утверждений 21: доказано 15, сетка 6, на веру 0 — запуск только по явному согласию: --на-веру	2	flang io --plan НетТакогоПлана1234
scripts/targets/emit-law.fscript	не доказано: утверждений 48: доказано 44, сетка 2, на веру 2 — запуск только по явному согласию: --на-веру	3	flang io --plan НетТакогоПлана1234
scripts/targets/region-in-c-target.fscript	не доказано: утверждений 33: доказано 32, сетка 0, на веру 1 — запуск только по явному согласию: --на-веру	4	flang io --plan НетТакогоПлана1234
файл	вердикт	секунд	чем снято
ярлыки.flang	не доказано: утверждений 17: доказано 14, сетка 3, на веру 0 — запуск только по явному согласию: --на-веру	9	flang io --plan НетТакогоПлана1234
